plot name, x, y, id
data point272, 667.88, 93.40, 13
data point273, 608.71, 174.55, 13
data point274, 623.05, 60.07, 13
data point275, 746.15, 89.58, 13
data point276, 693.36, 33.68, 13
data point277, 581.63, 113.60, 13
data point278, 639.20, 64.65, 13
data point279, 615.31, 1.12, 13
data point280, 676.75, 115.66, 13
data point281, 641.48, 105.68, 13
data point282, 570.25, 114.83, 13
data point283, 610.76, 69.19, 13
centroid14, 164.69, 607.82, 14
data point284, 151.10, 677.54, 14
data point285, 146.09, 546.11, 14
data point286, 87.15, 626.62, 14
data point287, 64.85, 662.10, 14
data point288, 123.56, 632.74, 14
data point289, 119.01, 654.41, 14
data point290, 190.46, 597.73, 14
data point291, 176.13, 517.39, 14
data point292, 164.75, 552.44, 14
data point293, 187.28, 646.49, 14
data point294, 235.98, 558.79, 14
data point295, 217.09, 530.02, 14
data point296, 201.39, 565.89, 14
data point297, 132.44, 660.54, 14
data point298, 210.03, 598.36, 14
data point299, 157.92, 593.01, 14
data point300, 180.45, 554.28, 14
data point301, 94.44, 663.87, 14
data point302, 202.07, 624.66, 14
data point303, 211.40, 559.75, 14
data point304, 147.23, 672.66, 14
data point305, 170.67, 574.42, 14
data point306, 138.58, 662.76, 14
data point307, 186.60, 644.49, 14
data point308, 152.23, 641.43, 14
data point309, 233.02, 584.86, 14
centroid15, 648.56, 386.36, 15
data point310, 641.93, 390.62, 15
data point311, 635.79, 424.53, 15
data point312, 668.56, 361.85, 15
data point313, 734.32, 325.18, 15
data point314, 618.27, 395.36, 15
data point315, 594.38, 362.32, 15
data point316, 626.69, 427.35, 15
data point317, 608.48, 436.63, 15
data point318, 708.61, 353.39, 15
centroid16, 559.70, 280.83, 16
data point319, 509.95, 334.31, 16
data point320, 574.81, 221.11, 16
data point321, 568.66, 260.85, 16
data point322, 599.38, 308.22, 16
data point323, 585.50, 298.63, 16
data point324, 525.43, 319.69, 16
data point325, 597.11, 268.41, 16
data point326, 468.08, 277.09, 16
data point327, 520.65, 342.74, 16
data point328, 654.45, 256.55, 16
data point329, 545.68, 241.96, 16
data point330, 548.41, 231.12, 16
data point331, 496.75, 258.96, 16
data point332, 527.25, 280.17, 16
data point333, 598.93, 277.08, 16
data point334, 602.79, 244.11, 16
data point335, 547.95, 301.67, 16
data point336, 643.75, 266.37, 16
data point337, 518.83, 346.76, 16
centroid17, 507.61, 459.85, 17
data point338, 543.63, 430.98, 17
data point339, 522.24, 475.47, 17
data point340, 559.79, 450.29, 17
data point341, 439.41, 528.68, 17
data point342, 556.15, 414.44, 17
data point343, 479.91, 443.49, 17
data point344, 520.87, 406.24, 17
data point345, 461.48, 503.27, 17
data point346, 551.37, 483.88, 17
data point347, 535.67, 493.52, 17
data point348, 491.29, 423.32, 17
data point349, 534.30, 495.66, 17
data point350, 535.44, 488.83, 17
data point351, 459.43, 432.30, 17
data point352, 505.17, 407.50, 17
data point353, 499.26, 501.93, 17
data point354, 510.18, 493.68, 17
data point355, 516.55, 463.70, 17
data point356, 506.08, 379.20, 17
data point357, 466.03, 478.63, 17
data point358, 465.58, 461.89, 17
centroid18, 187.56, 925.64, 18
data point359, 168.16, 950.62, 18
data point360, 203.66, 928.82, 18
data point361, 172.03, 947.92, 18
data point362, 197.75, 895.87, 18
data point363, 171.35, 1008.17, 18
data point364, 167.48, 943.73, 18
data point365, 183.86, 890.34, 18
data point366, 180.45, 867.01, 18
data point367, 138.13, 908.08, 18
data point368, 211.40, 880.62, 18
data point369, 179.31, 872.34, 18
data point370, 201.16, 938.49, 18
data point371, 257.82, 933.59, 18
data point372, 164.75, 930.30, 18
data point373, 185.00, 984.62, 18
data point374, 186.14, 1007.76, 18
data point375, 213.67, 885.76, 18
data point376, 193.88, 864.87, 18
data point377, 142.22, 865.71, 18
data point378, 233.02, 1008.28, 18
centroid19, 667.72, 980.31, 19
data point379, 661.28, 992.48, 19
data point380, 715.21, 1011.05, 19
data point381, 731.59, 1002.76, 19
data point382, 659.91, 943.10, 19
data point383, 716.34, 946.02, 19
data point384, 617.36, 981.87, 19
data point385, 642.84, 955.90, 19
data point386, 626.69, 975.42, 19
data point387, 638.29, 1014.23, 19
centroid20, 380.72, 815.57, 20
data point388, 406.19, 771.86, 20
data point389, 366.14, 799.96, 20
data point390, 369.10, 823.30, 20
data point391, 383.89, 854.49, 20
data point392, 328.82, 813.83, 20
data point393, 338.38, 828.27, 20
data point394, 329.50, 784.19, 20
data point395, 445.33, 805.13, 20
data point396, 380.02, 777.64, 20
data point397, 355.90, 870.92, 20
data point398, 397.77, 823.52, 20
data point399, 369.10, 815.32, 20
data point400, 402.77, 780.97, 20
data point401, 337.69, 842.30, 20
data point402, 349.30, 816.00, 20
data point403, 449.19, 781.63, 20
data point404, 416.88, 769.10, 20
data point405, 422.80, 837.21, 20
data point406, 354.08, 828.05, 20
data point407, 423.94, 835.87, 20
data point408, 360.68, 810.57, 20
data point409, 378.42, 780.68, 20
data point410, 420.07, 888.08, 20
data point411, 339.51, 839.88, 20
data point412, 418.93, 846.00, 20
data point413, 354.30, 780.10, 20
centroid21, 257.39, 234.98, 21
data point414, 320.63, 231.60, 21
data point415, 270.79, 240.61, 21
data point416, 243.03, 280.13, 21
data point417, 212.99, 217.45, 21
data point418, 216.63, 231.08, 21
data point419, 272.16, 189.38, 21
data point420, 268.52, 307.18, 21
data point421, 245.76, 287.51, 21
data point422, 281.49, 284.12, 21
data point423, 313.80, 257.80, 21
data point424, 260.10, 184.35, 21
data point425, 263.51, 272.02, 21
data point426, 309.25, 293.78, 21
data point427, 317.90, 177.64, 21
data point428, 265.10, 256.24, 21
data point429, 271.02, 218.03, 21
data point430, 251.68, 251.05, 21
data point431, 298.10, 241.22, 21
data point432, 234.84, 161.21, 21
data point433, 312.89, 203.11, 21
data point434, 202.07, 161.60, 21
data point435, 282.62, 267.63, 21
data point436, 204.80, 200.26, 21
data point437, 217.32, 191.38, 21
data point438, 255.54, 305.67, 21
data point439, 268.52, 283.87, 21
data point440, 282.85, 205.63, 21
data point441, 186.82, 184.90, 21
data point442, 221.18, 160.44, 21
data point443, 235.29, 287.70, 21
data point444, 305.15, 279.49, 21
data point445, 216.86, 260.13, 21
data point446, 243.26, 219.03, 21
data point447, 198.66, 196.07, 21
centroid22, 532.59, 847.15, 22
data point448, 546.59, 845.93, 22
data point449, 576.40, 833.39, 22
data point450, 601.88, 843.10, 22
data point451, 521.33, 858.06, 22
data point452, 568.89, 909.69, 22
data point453, 603.93, 820.90, 22
data point454, 587.32, 903.99, 22
data point455, 546.13, 879.73, 22
data point456, 475.14, 796.55, 22
data point457, 474.23, 815.91, 22
data point458, 458.75, 875.39, 22
data point459, 491.06, 821.78, 22
data point460, 484.24, 865.44, 22
data point461, 557.06, 791.66, 22
data point462, 495.84, 845.75, 22
centroid23, 683.53, 767.02, 23
data point463, 717.48, 778.78, 23
data point464, 690.86, 860.82, 23
data point465, 661.50, 745.61, 23
data point466, 657.18, 786.31, 23
data point467, 690.63, 663.57, 23
centroid24, 345.09, 715.27, 24
data point468, 396.63, 750.66, 24
data point469, 377.97, 681.02, 24
data point470, 317.21, 689.70, 24
data point471, 397.31, 732.38, 24
data point472, 347.48, 660.12, 24
data point473, 330.64, 768.69, 24
data point474, 357.26, 730.68, 24
data point475, 306.74, 656.46, 24
data point476, 303.33, 719.13, 24
data point477, 363.86, 727.45, 24
data point478, 315.85, 778.41, 24
data point479, 334.96, 757.60, 24
data point480, 326.77, 746.97, 24
data point481, 342.93, 674.08, 24
data point482, 367.96, 740.37, 24
data point483, 341.33, 688.51, 24
data point484, 391.62, 709.88, 24
data point485, 354.76, 734.73, 24
data point486, 321.31, 681.42, 24
data point487, 344.97, 728.36, 24
data point488, 296.05, 674.94, 24
data point489, 319.72, 695.33, 24
data point490, 386.62, 742.73, 24
data point491, 338.83, 696.97, 24
centroid25, 333.85, 958.59, 25
data point492, 394.35, 905.33, 25
data point493, 376.38, 895.67, 25
data point494, 277.85, 1008.94, 25
data point495, 348.16, 925.65, 25
data point496, 373.65, 1002.40, 25
data point497, 379.56, 970.55, 25
data point498, 351.57, 988.68, 25
data point499, 322.22, 923.10, 25
data point500, 295.82, 952.21, 25
data point501, 317.90, 991.77, 25
data point502, 345.20, 1015.00, 25
data point503, 401.41, 929.57, 25
data point504, 302.19, 988.40, 25
data point505, 323.81, 924.18, 25
data point506, 395.49, 1016.45, 25
data point507, 275.11, 999.64, 25
data point508, 283.31, 919.08, 25
data point509, 309.25, 977.04, 25
data point510, 364.32, 923.73, 25
data point511, 265.78, 1013.70, 25
data point512, 398.45, 926.70, 25
data point513, 306.29, 929.92, 25
data point514, 259.64, 954.59, 25
data point515, 278.76, 947.92, 25
data point516, 306.74, 975.76, 25
data point517, 369.55, 989.33, 25
data point518, 399.82, 915.46, 25
data point519, 385.02, 957.47, 25
data point520, 269.43, 930.30, 25
data point521, 313.80, 995.85, 25
data point522, 358.40, 921.79, 25
centroid26, 337.98, 573.72, 26
data point523, 407.10, 531.49, 26
data point524, 409.60, 553.75, 26
data point525, 347.48, 587.67, 26
data point526, 252.13, 584.99, 26
data point527, 325.63, 495.98, 26
data point528, 392.76, 621.55, 26
data point529, 311.98, 610.79, 26
data point530, 314.71, 603.03, 26
data point531, 326.77, 633.87, 26
data point532, 367.05, 618.43, 26
data point533, 378.88, 619.25, 26
data point534, 285.13, 570.42, 26
data point535, 321.99, 535.71, 26
data point536, 337.01, 640.79, 26
data point537, 324.27, 547.67, 26
data point538, 394.35, 532.37, 26
data point539, 329.96, 596.09, 26
data point540, 278.98, 536.01, 26
data point541, 389.35, 604.85, 26
data point542, 324.72, 476.07, 26
data point543, 390.03, 479.72, 26
data point544, 380.02, 573.31, 26
data point545, 324.04, 629.27, 26
data point546, 331.09, 580.32, 26
data point547, 258.96, 624.51, 26
data point548, 298.33, 568.34, 26
data point549, 323.13, 534.23, 26
centroid27, 148.74, 69.29, 27
data point550, 64.17, 81.81, 27
data point551, 171.58, 9.88, 27
data point552, 163.61, 94.41, 27
data point553, 225.28, 46.46, 27
data point554, 123.56, 101.28, 27
data point555, 220.05, 30.88, 27
data point556, 105.59, 60.34, 27
data point557, 150.64, 30.50, 27
data point558, 156.56, 144.90, 27
data point559, 94.21, 63.50, 27
data point560, 200.25, 8.16, 27
data point561, 148.82, 75.79, 27
data point562, 133.12, 65.22, 27
data point563, -21.39, 152.91, 27
data point564, 216.41, 119.60, 27
data point565, 144.95, 69.05, 27
data point566, 231.20, 23.21, 27
centroid28, 242.90, 740.66, 28
data point567, 200.70, 765.37, 28
data point568, 176.81, 734.41, 28
data point569, 260.32, 766.80, 28
data point570, 214.13, 730.99, 28
data point571, 300.37, 773.42, 28
data point572, 257.14, 734.30, 28
data point573, 263.05, 753.63, 28
data point574, 242.35, 658.76, 28
data point575, 247.81, 722.38, 28
data point576, 201.39, 692.26, 28
data point577, 289.45, 741.28, 28
data point578, 283.99, 757.16, 28
data point579, 291.95, 764.28, 28
data point580, 211.63, 741.83, 28
data point581, 170.21, 705.98, 28
data point582, 273.75, 767.61, 28
data point583, 244.17, 780.82, 28
centroid29, 488.08, 949.72, 29
data point584, 468.08, 974.67, 29
data point585, 529.52, 941.29, 29
data point586, 548.18, 918.43, 29
data point587, 486.97, 900.10, 29
data point588, 483.10, 981.97, 29
data point589, 560.24, 986.21, 29
data point590, 425.53, 930.91, 29
data point591, 483.33, 933.26, 29
data point592, 496.30, 911.69, 29
data point593, 494.02, 961.21, 29
data point594, 478.55, 904.71, 29
data point595, 534.07, 954.90, 29
data point596, 418.25, 1018.83, 29
data point597, 474.00, 891.92, 29
data point598, 451.70, 984.30, 29
data point599, 477.41, 1001.09, 29

